Runs,SampleDescription,Initial_desc,Run,LIBRARY_CONSTRUCTION_PROTOCOL,STUDY_ABSTRACT,DESIGN_DESCRIPTION,READ_RUN_INFO,Pubmed ID,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,CenterName,Submission,RunHash,ReadHash,name_TaxID,Pubmed_ID_pull,PMC,PMC_address
DRR057057,atfA_24h,Illumina MiSeq sequencing of SAMD00020365,DRR057057,TrueSeq RNA,"In order to gain insight into the role of AtfA transcription factor in conidia stress tolerance, we determined the expression profiles of the WT and atfA mutant at the conidiation stage (0 and 24h after asexual developmental induction).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",25459537.0,2016-03-11 09:09:15,2016-03-11 09:09:57,3988327,194888937,0,48,102,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR057057/DRR057057,DRX051693,D Hagiwara,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003054,PRJDB3180,262868,DRS026717,SAMD00020365,746128,Aspergillus fumigatus,SAMD00020365,CHIBA_U,DRA004540,949BE485F049F23460C93DEF151304C9,646EEF73F1CFF90F9695D1F3A539C2CD,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/25459537,[],
DRR057056,atfA_0h,Illumina MiSeq sequencing of SAMD00020364,DRR057056,TrueSeq RNA,"In order to gain insight into the role of AtfA transcription factor in conidia stress tolerance, we determined the expression profiles of the WT and atfA mutant at the conidiation stage (0 and 24h after asexual developmental induction).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",25459537.0,2016-03-11 09:09:15,2016-03-11 09:10:21,3980263,194470318,0,48,102,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR057056/DRR057056,DRX051692,D Hagiwara,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003054,PRJDB3180,262868,DRS026718,SAMD00020364,746128,Aspergillus fumigatus,SAMD00020364,CHIBA_U,DRA004539,CEF94E2204CF089A23F0A77B2EF7D168,4EF386909D8401EB93B0ED37FF5726B0,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/25459537,[],
DRR057055,AfS35(WT)_24h,Illumina MiSeq sequencing of SAMD00020363,DRR057055,,"In order to gain insight into the role of AtfA transcription factor in conidia stress tolerance, we determined the expression profiles of the WT and atfA mutant at the conidiation stage (0 and 24h after asexual developmental induction).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",25459537.0,2016-03-11 09:09:15,2016-03-11 09:10:38,4204550,205453998,0,48,108,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR057055/DRR057055,DRX051691,D Hagiwara,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003054,PRJDB3180,262868,DRS026723,SAMD00020363,746128,Aspergillus fumigatus,SAMD00020363,CHIBA_U,DRA004538,967663F134696DD354730074DC17363F,96738D9E5F22431E8881F9C390C8BB6A,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/25459537,[],
DRR057054,AfS35(WT)_0h,Illumina MiSeq sequencing of SAMD00020362,DRR057054,TrueSeq RNA,"In order to gain insight into the role of AtfA transcription factor in conidia stress tolerance, we determined the expression profiles of the WT and atfA mutant at the conidiation stage (0 and 24h after asexual developmental induction).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",25459537.0,2016-03-11 09:09:15,2016-03-11 09:10:36,3897278,190419098,0,48,100,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR057054/DRR057054,DRX051690,D Hagiwara,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003054,PRJDB3180,262868,DRS026716,SAMD00020362,746128,Aspergillus fumigatus,SAMD00020362,CHIBA_U,DRA004537,B8C97698F0E67E17CCD21239388DC139,AD9D1487B5ACFB717DF26D2077A85844,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/25459537,[],
DRR059463,A. fumigatus_1h-geminated conidia,Illumina HiSeq 2000 sequencing of SAMD00051087,DRR059463,,"We attempted to address the issue of dormancy mechanisms in Aspergillus conidia by performing a comparative transcriptome analysis within the genus. The transcriptome data were obtained from hyphae, conidia, and 1 h-grown conidia of A. fumigatus, A. niger, and A. oryzae.",,"SPOT_LENGTH: 60, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-04-18 11:14:54,2016-04-18 11:13:36,40627393,2437643580,0,60,1407,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR059463/DRR059463,DRX053794,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina HiSeq 2000,DRP003084,PRJDB4747,318363,DRS029036,SAMD00051087,746128,Aspergillus fumigatus,SAMD00051087,CHIBA_U,DRA004642,9C7C45E9DA3233B5B95B6DC7F8CF51CA,DB6694193B6BD5AF89EC59D4895100B4,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC4869263'],https://www.ncbi.nlm.nih.gov/pmc/PMC4869263
DRR059462,A. fumigatus_conidia,Illumina HiSeq 2000 sequencing of SAMD00051086,DRR059462,,"We attempted to address the issue of dormancy mechanisms in Aspergillus conidia by performing a comparative transcriptome analysis within the genus. The transcriptome data were obtained from hyphae, conidia, and 1 h-grown conidia of A. fumigatus, A. niger, and A. oryzae.",,"SPOT_LENGTH: 60, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-04-18 11:14:54,2016-04-18 11:12:39,17090349,1025420940,0,60,593,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR059462/DRR059462,DRX053793,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina HiSeq 2000,DRP003084,PRJDB4747,318363,DRS029040,SAMD00051086,746128,Aspergillus fumigatus,SAMD00051086,CHIBA_U,DRA004641,4A2D0814D1B6DDF334BD619DE77C0781,FED0AD4370BD440BDB25712DA105DE54,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC4869263'],https://www.ncbi.nlm.nih.gov/pmc/PMC4869263
DRR059461,A. fumigatus_hyphae,Illumina HiSeq 2000 sequencing of SAMD00051085,DRR059461,,"We attempted to address the issue of dormancy mechanisms in Aspergillus conidia by performing a comparative transcriptome analysis within the genus. The transcriptome data were obtained from hyphae, conidia, and 1 h-grown conidia of A. fumigatus, A. niger, and A. oryzae.",,"SPOT_LENGTH: 60, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-04-18 11:14:44,2016-04-18 11:12:59,30501531,1830091860,0,60,1061,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR059461/DRR059461,DRX053792,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina HiSeq 2000,DRP003084,PRJDB4747,318363,DRS029033,SAMD00051085,746128,Aspergillus fumigatus,SAMD00051085,CHIBA_U,DRA004640,CC16F57D9F808A33AB5D1032E6696CA1,0F504466BD7794E9457764955CFEF1FC,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC4869263'],https://www.ncbi.nlm.nih.gov/pmc/PMC4869263
DRR059460,A. fumigatus delta-atfA_conidia,Illumina MiSeq sequencing of SAMD00051095,DRR059460,,"We attempted to address the issue of dormancy mechanisms in Aspergillus conidia by performing a comparative transcriptome analysis within the genus. The transcriptome data were obtained from hyphae, conidia, and 1 h-grown conidia of A. fumigatus, A. niger, and A. oryzae.",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-04-18 11:14:44,2016-04-18 11:12:00,2153046,107346480,0,49,57,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR059460/DRR059460,DRX053791,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003084,PRJDB4747,318363,DRS029029,SAMD00051095,746128,Aspergillus fumigatus,SAMD00051095,CHIBA_U,DRA004639,CD1721B9AE9EAC749FCED08EEE5D94C6,EE342D02D4D081B8D617D2C4D784B97B,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC4869263'],https://www.ncbi.nlm.nih.gov/pmc/PMC4869263
DRR059459,A. fumigatus Afs35_conidia,Illumina MiSeq sequencing of SAMD00051094,DRR059459,,"We attempted to address the issue of dormancy mechanisms in Aspergillus conidia by performing a comparative transcriptome analysis within the genus. The transcriptome data were obtained from hyphae, conidia, and 1 h-grown conidia of A. fumigatus, A. niger, and A. oryzae.",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-04-18 11:14:44,2016-04-18 11:11:58,3413053,170177547,0,49,91,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR059459/DRR059459,DRX053790,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003084,PRJDB4747,318363,DRS029037,SAMD00051094,746128,Aspergillus fumigatus,SAMD00051094,CHIBA_U,DRA004638,176EE34FE51EE872AABD009D36623B93,5F7AB246F9AA11ECC71896BEF92A139B,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC4869263'],https://www.ncbi.nlm.nih.gov/pmc/PMC4869263
DRR075876,Illumina MiSeq paired end sequencing of SAMD00065947,Illumina MiSeq paired end sequencing of SAMD00065947,DRR075876,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:34:46,976211,50762972,976211,52,29,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075876/DRR075876,DRX069773,PDB+MCZ_atrR,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037180,SAMD00065947,746128,Aspergillus fumigatus,DRS037180,CHIBA_U,DRA005241,88561B69298F0A96D5BB42B2BFCB9155,4F15E0CEAC40DB601F8CFA451C061A64,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
